bias	x,y,class
1	154.00863957872002,-56.65033354726984,0
1	40.82274574095652,185.90124429380722,0
1	-180.31627243622128,-17.475718079887514,0
1	-121.68828427721422,-240.5784693448847,0
1	82.2520503553684,-48.59143332645428,0
1	-55.224280129892435,-131.05777407597049,0
1	8.670416249825053,40.798261268255885,1
1	-84.08590069344675,142.03964289648707,0
1	-64.98078009395368,54.727894771742115,0
1	-18.151988749906423,-125.32992686536038,0
1	-214.99209412749727,2.9589665178905022,0
1	-185.61927954820555,157.43094152707488,0
1	238.81856129648975,-223.14168223156366,0
1	42.48012503371501,114.27199281590111,0
1	-52.19215552013827,-109.92516645704143,0
1	-226.75234362060692,234.879337962688,0
1	-80.16742794122212,194.304489474487,0
1	-98.06567498903757,-162.9494774200857,0
1	-170.4009155467022,125.8504457673132,0
1	-29.33606469241201,4.7337532154653275,1
1	-83.54445810480195,236.3282751015434,0
1	-161.01237040197265,30.683031969014564,0
1	-142.4739543912637,-237.47025307493152,0
1	-31.498006015385556,-76.14587828684472,0
1	161.4316556243623,-6.433376269752102,0
1	84.34160101172,161.3279117340278,0
1	-91.07201044358604,80.78542280903514,0
1	-134.4947038642282,51.59823339129406,0
1	71.68208323224951,-103.81524246526413,0
1	-237.39347044976705,-83.97282770679848,0
1	239.8918387246252,208.96723262722452,0
1	77.87105943860388,-29.18117963578308,0
1	27.740570954468012,38.190569465273484,1
1	-181.357075293481,170.77638916096186,0
1	2.073969333434576,199.42836769562427,0
1	-202.77536953218805,206.37049805782516,0
1	76.55858642224803,-203.15628899422632,0
1	32.57630962233986,18.407584715344058,1
1	120.4205478872891,-112.26405476135608,0
1	-227.14617523031293,-218.82284958806275,0
1	-168.53001074332985,-117.84484390013066,0
1	16.20963036157127,103.62249286498871,0
1	-68.0790745917675,-165.89861049751192,0
1	-126.52704077436312,95.82829850699136,0
1	53.92976612088057,-14.789481774479185,0
1	52.684837692436304,154.6889409954166,0
1	230.75216091344817,-215.40257105499188,0
1	68.14414429483708,-22.78615545916324,0
1	-132.7733249293159,14.07097473407299,0
1	92.22761588342235,-10.395419717462886,0
1	148.90054991386506,0.6636972028105674,0
1	195.3688112027158,-166.78046897940334,0
1	37.36563026247177,36.74866784839264,1
1	-220.39143098897733,-189.3793401786093,0
1	223.9183081912151,91.75192367228084,0
1	64.20449046794164,-70.41512827922892,0
1	-65.06990562550507,46.60616759338791,0
1	-231.41608312808654,130.94173321116676,0
1	-59.283219823285094,-212.59067939496018,0
1	22.807368021248806,-151.12721294664613,0
1	237.953230491105,60.74588325259134,0
1	-33.94500691099839,-12.568787389777896,1
1	234.64426675439302,-207.03855317285814,0
1	-12.347349193033267,173.81677491135537,0
1	201.03686500419394,246.82572084172887,0
1	84.89892858238454,-116.58674802498959,0
1	-6.444114334806471,-19.530656029516592,1
1	-176.08150266307342,-175.99857609727215,0
1	245.2025902608675,244.6772594479097,0
1	7.134027634737777,7.554998353929648,1
1	-194.49155245796112,172.357520693144,0
1	-22.65391575204268,4.407694533116683,1
1	155.25273162935468,-1.0023990853911187,0
1	-200.03441712344045,-106.96113335196688,0
1	22.099279265858343,187.5579017580455,0
1	94.17075980053136,49.45717444963418,0
1	-33.26366450105772,-205.03305838590867,0
1	-111.58136924010154,-209.65061681134318,0
1	-228.86093733479402,-157.4341340726358,0
1	182.6828641546104,-140.7289391198116,0
1	-102.15079203994117,4.188967349636357,0
1	174.795062018367,118.5041234174966,0
1	-243.78839376699702,162.30059425250454,0
1	13.145266497518548,-244.1286029484342,0
1	-109.7190702701445,111.98261665717791,0
1	16.334879536232222,-152.0529390639629,0
1	-183.90920760216824,54.327553871523776,0
1	71.20292515539904,231.40257379567493,0
1	-199.3686051895796,-88.67005782352987,0
1	159.39679705592192,-53.13786723558357,0
1	-134.69030822542595,-239.18502184271284,0
1	248.30406001708576,-81.85135148841476,0
1	243.8386649006158,-138.86134142865114,0
1	-102.20478589370896,140.6920172651375,0
1	128.26261818082435,242.59711577245378,0
1	197.90857275077195,147.83325768154253,0
1	-229.40512881189102,246.1243387071222,0
1	55.03783017907779,-233.68371103950187,0
1	112.15248984057462,-48.97109559016633,0
1	-112.50991050640181,40.03172271390042,0
1	193.6581453055142,43.826184160704145,0
1	138.1298768924342,-226.85187269892404,0
1	-79.10823641857695,121.09795719187451,0
1	230.19140354783968,1.484169003218625,0
1	111.69320974633433,47.460026034393024,0
1	-230.16083755057159,130.2665292058108,0
1	-7.18141976356668,35.610855421903864,1
1	12.548998544168683,169.96260004983867,0
1	-109.6451576253626,-248.21915873952554,0
1	46.191357426643606,201.78175747370477,0
1	168.77027084479317,118.22951925898644,0
1	-230.9166532567572,42.544406522685165,0
1	-226.57026986035888,-75.72176958714616,0
1	-58.673905917662125,-207.70516959683417,0
1	165.9756162318045,73.60584704645328,0
1	-176.93846289432042,150.12943737040075,0
1	-74.79795435578146,102.2571034392688,0
1	19.485000779151278,208.16028653435478,0
1	-186.2797478395915,-10.264250457861891,0
1	-99.20622565259225,-118.5087047704584,0
1	235.15825789502787,-192.95911580923303,0
1	-174.85952049726345,-174.43438560595143,0
1	230.10532740383206,166.71486461932756,0
1	-64.93087155893491,214.30993342557764,0
1	-21.752456507637362,110.56816816463748,0
1	151.30693595527117,-69.69074701987608,0
1	183.65615889019813,172.61769261370029,0
1	175.58476853768843,7.8638193414855095,0
1	-118.42296839788952,-105.69164985601614,0
1	120.52253960607345,6.1443164130022865,0
1	-148.11307101541004,-190.81784306890086,0
1	93.00473436004836,-149.70801185461346,0
1	136.4398831213564,-202.7613640092159,0
1	209.4769911904085,-5.665395503936907,0
1	46.740290052163175,-7.154574465779547,1
1	131.97874497921907,-149.5218277696958,0
1	-175.13490517282378,234.33934656468006,0
1	-61.05916170659336,244.3651953792974,0
1	-178.25430084089743,-44.492240724720034,0
1	-126.95523244734497,249.67738803536133,0
1	-240.97742815522582,148.31079851545786,0
1	-2.3283634420209296,192.34932811255607,0
1	-23.712427769112963,26.449328718325887,1
1	-235.60435574391136,-33.41725872915342,0
1	-249.4330281422084,-202.47166301260904,0
1	150.93641283310785,39.11855705422107,0
1	31.581239065067336,-108.68652619189507,0
1	-173.04809287513638,-85.2669195341283,0
1	74.98494867673912,234.63461015473507,0
1	-92.54816981322327,-87.94291372923024,0
1	-63.934910454970066,201.758394827492,0
1	96.94459372830471,-119.33555873261298,0
1	88.72053085066955,158.36068478450397,0
1	-123.98119463802176,-4.349469871235584,0
1	63.045752963354346,-66.7543599597642,0
1	-172.87715212350895,194.2379351549733,0
1	17.811298975477825,-35.208021662083866,1
1	-145.79854533480056,147.19297474764147,0
1	216.5286649673265,228.42015913584754,0
1	-70.50652643338583,201.61795516758798,0
1	230.2818017266045,144.13139610451827,0
1	16.99781211522594,224.30009562572553,0
1	-18.131638011325066,-234.9228841289248,0
1	135.01251926610098,118.53556869471885,0
1	153.80907129355603,202.39277865945843,0
1	-144.0895387848538,247.17669446459035,0
1	-187.52180591781732,-168.10079476537442,0
1	215.27117003345114,-182.67821707554032,0
1	-240.65585885436712,-82.53621483007052,0
1	-247.04663721009524,75.71245856513332,0
1	-84.0531736003725,192.73890796137567,0
1	89.49782827720082,-165.5068325535657,0
1	-95.55735445075308,-78.88835449928067,0
1	-127.10877877062293,-139.58304753302048,0
1	-202.9668699839409,201.51144458987636,0
1	14.410093930828566,227.9144410112009,0
1	159.53509838887993,56.86191747874511,0
1	105.33019595268837,-60.53970323539738,0
1	-108.46212796513359,-241.17129581829283,0
1	224.91078591457767,234.54790872418846,0
1	13.164530812632904,88.18731192783497,0
1	159.2466375850973,-48.87751285051738,0
1	-196.7550368358452,106.04180096749332,0
1	198.21383511438825,-25.5394646281365,0
1	-177.7759584868432,96.70985057856069,0
1	49.53400930082785,129.30299717667475,0
1	183.97550955173574,235.62489016018634,0
1	19.54501449743492,-117.58902000453432,0
1	-139.47841804504458,192.76587032628396,0
1	-3.087122858518484,71.30034597317979,0
1	-137.229922630572,-171.92672669068554,0
1	-1.6248470579226648,216.4371743371537,0
1	175.6867103764897,-220.37911325100262,0
1	68.64285536575073,133.22860867333037,0
1	-143.53825555121114,-163.64479432348477,0
1	172.05002932688245,-174.70269887867414,0
1	159.450289637801,172.5774834213812,0
1	71.24026477848867,-210.86535080938012,0
1	21.80061470557422,159.3940598336925,0
1	-236.6235226606972,29.52827788797481,0
1	66.5692852013795,-73.43732931553626,0
1	-121.52539064305884,-233.6219678322331,0
1	171.44685839108325,74.93061333090634,0
1	-6.513529526409087,-47.78702792465316,1
1	-26.821940165069776,-226.151315330491,0
1	25.73205074760017,209.51715947988794,0
1	136.95512551611478,48.62003471517846,0
1	213.26924600435547,-222.69971536680643,0
1	-165.2044314737291,-146.94588384957456,0
1	84.6233290851996,-160.55428255567972,0
1	-118.92496407482295,179.69192441363094,0
1	22.168940157306224,204.94236891810715,0
1	6.814129499244814,137.72322253921277,0
1	172.62607581427244,159.20453017590881,0
1	62.27582561568221,-63.041668630300535,0
1	111.75602724482673,-129.62134416356486,0
1	-209.37107717018284,-177.1983859644384,0
1	-98.7114182390525,191.47914199049978,0
1	170.18539879094521,94.4954462927941,0
1	157.5032112809322,137.74220534618706,0
1	-36.72039854223786,66.6744629773167,0
1	-241.8658705746747,47.59514764706563,0
1	-150.149880739327,49.597700660600424,0
1	28.92482672328896,39.00172021915756,1
1	195.67816813347417,173.05827851603942,0
1	-75.16704805575702,51.560684265228645,0
1	187.51238615240595,-235.52089281217954,0
1	-199.57264571455985,219.8418913770974,0
1	92.1328342179691,218.5604649965589,0
1	-199.38785253916825,159.5606696599944,0
1	-90.62541691135311,129.27993030234876,0
1	49.494435297954226,13.18363014909039,1
1	-107.05369191450649,-241.52660989104828,0
1	225.8453576772444,-203.08164269197044,0
1	-241.82889358834302,-18.354764017032778,0
1	-169.8873801138675,-128.28858731973287,0
1	85.22030559407352,-212.96673611660123,0
1	-50.55113247833813,-108.23418146093132,0
1	-194.39199259339622,-148.05567173634108,0
1	-13.221584289084774,201.78550699658575,0
1	-146.7857406185641,-165.54126688086717,0
1	46.77201520231904,-228.8548666334786,0
1	-182.91058068528508,-215.70592734437489,0
1	-133.19258836731188,163.08175114031786,0
1	-47.16374915808868,143.62396644262714,0
1	-246.0257018790623,83.36236624676121,0
1	74.47334558947392,-107.99681561080837,0
1	87.30433023376452,89.08243428477311,0
1	-237.80509362627944,22.078946130617453,0
1	-214.05171659853806,119.58117642821685,0
1	-207.8187025315852,-8.052107239748238,0
1	-74.22933475372645,203.80712689409853,0
1	134.19274301834503,215.3348586155206,0
1	69.26875110667623,207.6695885057826,0
1	-145.30782484248016,-163.41746332063133,0
1	120.02226649255624,-74.49111418602288,0
1	237.19159476138543,-19.838944685194747,0
1	149.63277932084208,210.50912433955915,0
1	-56.616174825649125,134.9848408885315,0
1	199.4929898298234,-26.793457447451658,0
1	147.42927075758064,99.48610531996223,0
1	-11.547889687028459,-28.086694910159594,1
1	225.6893776334457,45.42371004221286,0
1	108.99535469034396,107.95157684400635,0
1	215.52678513941459,-206.86213737462722,0
1	37.87524890452852,96.63331979593715,0
1	-98.26781811016843,-140.97880507608727,0
1	185.641446465792,-212.6700022897372,0
1	133.68410635075566,151.0324441520301,0
1	29.156244576499375,-6.29451523746161,1
1	-107.1213991278384,184.76178653178107,0
1	119.70521852497745,237.84450632437824,0
1	-247.20676798005042,222.29329455684905,0
1	-117.10284998305931,-3.2298102858275968,0
1	112.58330795163789,-91.04625082108873,0
1	193.49275151289083,68.7575415112347,0
1	-184.81541624342492,31.66224041490392,0
1	32.02339979534446,-165.45632141542777,0
1	-67.58378871911663,-218.5019452471798,0
1	-204.0471711736347,192.9480983367958,0
1	-206.28634422990024,-196.12552963221574,0
1	-170.62885986103117,-119.01495040081494,0
1	84.10133079350271,88.66574162238913,0
1	19.41527753947696,245.12752296361077,0
1	-27.91533968522964,160.09926070060385,0
1	-215.80508929257473,-80.08324863778543,0
1	-131.85191353365366,-204.14714697143688,0
1	71.99782077603311,-138.36388833694866,0
1	-80.9345163249528,-186.42308073143784,0
1	130.92138642459787,-158.79227116108862,0
1	-11.280392923088812,-214.35973413036578,0
1	169.62913165182994,158.06559623551692,0
1	-72.58429008688915,-119.44329514678759,0
1	47.56270992797363,-79.51827536109874,0
1	38.39840969205676,244.9323618214259,0
1	-148.2312120650291,-130.42046518931295,0
1	141.88480115853054,-220.4811559288347,0
1	-67.37508858197694,-45.525733779560824,0
1	-242.10134240039315,159.81436457935877,0
1	64.99095454792973,-53.89427843795352,0
1	-152.27269833300335,-146.02142573214482,0
1	-57.45209047172091,54.52351475436751,0
1	-107.17277323344422,-39.141405733323865,0
1	-50.76766321367461,-25.38429711528363,0
1	-189.67377581614676,-205.18101465135052,0
1	13.107812854684482,-221.936446555144,0
1	133.59440029390072,-196.56248168708646,0
1	17.813837559290846,171.16305867558543,0
1	126.6429626423905,81.51289750482766,0
1	108.03793260923788,242.05895571372974,0
1	-116.81864324951542,45.34115109605193,0
1	-26.77102535872379,1.1367386917891054,1
1	94.05516750500215,8.21117897814878,0
1	152.07906775431076,58.75152981350885,0
1	241.37311568655485,-19.919020873046037,0
1	24.972136657125077,208.07156222619744,0
1	-65.51762434033316,243.5615160381227,0
1	117.92751988800762,176.6723890129344,0
1	-209.88053823522364,168.8701656293485,0
1	213.94199271546796,-14.296202813254013,0
1	-2.101875447985776,-96.8819565820962,0
1	189.45019047123446,-118.70996760355916,0
1	-104.50229272997723,-133.0076344510852,0
1	-70.30008965314582,224.22181003345418,0
1	222.09636405673461,47.54696702187698,0
1	106.2166664352348,-2.8068916616327897,0
1	-138.21070846857543,225.81669304227051,0
1	-220.59446557640211,-118.73856662786565,0
1	-175.56576043616312,-50.93580349336585,0
1	143.20949311001465,-14.386833672743961,0
1	-117.57064052190435,-21.244001117019394,0
1	77.21552341955885,-31.584854154023077,0
1	-122.11203158628425,-239.35835349439128,0
1	-242.4073270600095,13.885396395078999,0
1	-66.01663766112682,13.885646232675526,0
1	229.8352622079542,138.58957629886123,0
1	212.15218187275855,-208.14516438139748,0
1	-16.656503325054587,135.07794221111584,0
1	-73.46476520914263,-193.23122813397097,0
1	-212.96251087090369,172.68909981920484,0
1	123.42318605298789,77.19609661659018,0
1	-219.5946556363012,-69.44911904058426,0
1	64.50870496013795,-44.024409906709906,0
1	-45.26858139938889,58.4042754001141,0
1	132.302173573453,-12.432900484814922,0
1	-18.79768940568377,-219.52643072931977,0
1	115.4573199818945,-55.799349686432805,0
1	-59.26580664751424,10.702739711760046,0
1	-123.82614878757731,34.414746116552465,0
1	246.72483001611937,-188.26558412296436,0
1	-72.20753684862453,-27.37505253600858,0
1	104.59507176876423,-27.418904959699404,0
1	200.3640286022232,-39.831343859624155,0
1	-74.33116212006564,43.39143927627066,0
1	19.119839699022577,67.45128915050901,0
1	134.41021410168383,54.68781263475768,0
1	48.390788374193335,-243.5126211840914,0
1	201.1257181269275,249.22078213190758,0
1	-62.080349581745196,-93.61785266492106,0
1	-201.5111769383277,-243.2467727582231,0
1	85.82897048705684,-108.88616875604123,0
1	24.489753374279985,-130.50975708769818,0
1	-233.765536407505,-20.835532474962662,0
1	-15.566608961652861,-26.69943639379113,1
1	31.96358415419155,247.9866662511713,0
1	122.19468382529988,-48.97616647387099,0
1	-65.2569208098601,-113.4242827194885,0
1	65.50648742092119,-145.27919805858915,0
1	-148.0855001147735,-108.0164503990373,0
1	176.72171366630806,-39.48632764462528,0
1	-220.6254821245836,-207.02889597558772,0
1	-120.4893561717823,-19.0735772573571,0
1	-2.393318185787905,-96.40742366907622,0
1	-122.0931585215066,-196.90023676321823,0
1	90.27188256972676,15.04649119854696,0
1	70.05176854119503,18.822495163735425,0
1	-172.41659841773043,-53.33918029737916,0
1	86.32890967451266,-48.39193022431408,0
1	-144.96262502030567,-214.89754109315712,0
1	-5.654143586499686,228.86413005521388,0
1	28.513723658382276,-57.73650545425724,0
1	7.492943696131022,102.27616500103034,0
1	-93.15200708490474,-16.301247517725386,0
1	-160.05272501604162,-50.1202840298277,0
1	149.44016025710874,1.1618402992500307,0
1	-157.6641755315668,67.94037617177378,0
1	164.57620839083927,-27.873963196830175,0
1	235.7714195207725,-23.659588415458842,0
1	243.84054780923952,-230.9440336688182,0
1	2.133286105273015,-28.429130039615615,1
1	165.8630126680328,-164.6193296361302,0
1	-73.49308470393495,-189.35918699163705,0
1	172.30135927053038,90.232332032653,0
1	31.644785716740444,98.73845371040397,0
1	70.63137369501737,90.61127231159315,0
1	166.40630985962633,126.83995671907769,0
1	-27.067154748104173,-140.18697430108267,0
1	-242.1380515255628,-189.3242133828108,0
1	-208.84287731935657,-34.16615516661298,0
1	247.44604120941955,-135.36882161387916,0
1	121.45268606079361,-208.2627112582061,0
1	-191.47046452152395,-39.547559122916965,0
1	39.10596618030934,38.9995590753453,1
1	-215.56922758877613,-151.22649572187134,0
1	-38.846982031329304,-44.33261267122546,1
1	121.33039753670852,-72.02896049461944,0
1	176.97584506043728,191.77609517237698,0
1	-139.89795575517383,-13.246140243150137,0
1	114.9585474538842,15.371763891839066,0
1	-77.70813819464706,-239.41102843837214,0
1	-190.14708216081178,191.33511562753768,0
1	-215.31030943707447,-125.42277395560552,0
1	153.17839859359282,-35.19693111136297,0
1	103.06763793400455,101.65214336669806,0
1	-242.4008007618721,-131.46943019081107,0
1	-108.77966238704155,-152.03003685406324,0
1	221.78045106553247,30.197041997815802,0
1	151.8534668656223,171.19253994137597,0
1	-81.902164480045,-82.54368470666085,0
1	20.39323964307175,-101.35719729379937,0
1	151.59828939634866,223.1635719370123,0
1	166.0101708421712,25.185577502120964,0
1	100.77849992394755,-125.66173617038412,0
1	-183.44114471194268,94.20664899083039,0
1	-50.329881264078665,217.15259731364443,0
1	-59.368687581092644,-193.6283413925841,0
1	6.89855355224114,130.76829738263,0
1	156.81337928792328,-95.7453374249263,0
1	-15.890167672271701,199.1238884310979,0
1	238.49626570063424,235.86434306705223,0
1	177.3617925712096,-194.99284215630814,0
1	-133.09611743397093,-84.56872512074898,0
1	-193.80093171786245,-68.17352868185273,0
1	1.5345291494934372,-101.83328475385306,0
1	-129.57746161531884,179.79242123591087,0
1	66.21984602495615,53.55443344657283,0
1	-48.798300023389515,167.13764061048948,0
1	150.84201882924378,53.8063846100427,0
1	-167.33176360902291,149.55913641317852,0
1	14.418389245948049,236.69503144850233,0
1	-184.1584207690845,-148.65564346805138,0
1	-53.051625912330195,103.28816289101565,0
1	209.95713503801176,139.10708901642818,0
1	-123.4145295862466,-93.44044330431734,0
1	135.9411216138164,118.41118566154273,0
1	-154.16145247621571,-194.00137077156342,0
1	198.2431912030683,-135.30853028560702,0
1	-122.99940236742235,-23.974372348807066,0
1	-134.35176267314975,4.109199335771962,0
1	134.28081162036392,-100.49513926258612,0
1	214.39395516510717,-3.273150428209817,0
1	-61.81604589411904,-137.6863475114319,0
1	232.53171900836884,-87.36883695546794,0
1	212.58750517861148,-78.64361874258842,0
1	-32.3049348242167,-94.2810908218535,0
1	196.48120659403958,-225.6189478602381,0
1	-84.87687448889923,-102.8027298035853,0
1	136.15325524157794,-96.64587287214681,0
1	-159.57318370554032,-24.914405255195106,0
1	193.71565034433638,-99.56541282167814,0
1	99.81664055328764,-61.98489966259396,0
1	-19.12503852591891,108.06729645183214,0
1	-143.48136586048895,-190.12511841887135,0
1	216.2769201091749,79.0234542221383,0
1	-123.34624189985904,30.653018033963974,0
1	168.57108874208984,152.23054651540366,0
1	-237.20617698165918,74.91902095256103,0
1	-153.30067606622904,-12.67231191738648,0
1	241.032765855305,-85.8162860428296,0
1	103.44830748583342,21.893409296031393,0
1	-68.85079132050447,-213.1833026179223,0
1	-63.90237773214619,248.71050825862903,0
1	-50.791699152758156,58.821458969015396,0
1	168.32233050790734,-35.34938444313545,0
1	129.53185169221098,-204.69847111050473,0
1	-246.02940585194082,190.4152633418223,0
1	211.82236004774114,22.167009642818357,0
1	-167.99881734281718,-92.8384033337596,0
1	-36.54827719276298,-192.78531714067333,0
1	89.1603020483829,-81.77506667293332,0
1	75.27187664588268,96.25492646994178,0
1	135.74724609560434,67.25045910993492,0
1	220.15388439611672,-179.74391128942318,0
1	-83.8827028599986,-213.73218924348214,0
1	-200.94549204525197,-214.21340184867432,0
1	-5.941339923141214,-231.6291089800702,0
1	-66.24581239378585,-163.5388180683164,0
1	-245.33874366184816,-181.52006072322558,0
1	-193.50008033994115,63.56337248473557,0
1	-23.906140061467028,56.183557891341536,0
1	-3.3672101799977554,-94.45725833635254,0
1	-16.79550560748089,-222.5148064816333,0
1	20.894286806669413,-224.16475660815638,0
1	87.74428896171491,5.1969550028066465,0
1	-116.16450239240217,-78.36048900028203,0
1	-240.47162899310243,-145.6101867228113,0
1	-65.11966805014524,-220.1487181943792,0
1	147.97459381722308,182.97745375643643,0
1	-22.41697656684582,36.08888389042903,1
1	-46.262968418842036,-61.84242675394859,0
1	56.81959219124582,109.44839595688626,0
1	-17.140007227419773,-107.83784582449624,0
1	138.50434454450755,17.04827435658882,0
1	-173.7299024035134,-158.45493392762228,0
1	104.31198767210117,199.11494729187098,0
1	17.855447096189607,-226.4719431357679,0
1	-53.51067715067893,176.79813205633133,0
1	-170.6143428573963,56.849216310622865,0
1	182.68284526216166,116.88687312879449,0
1	5.090055487458727,-204.47148417390792,0
1	83.94072930241396,-13.544239605800044,0
1	29.527860128314387,51.198676506602055,0
1	174.34094696724964,64.5177701245538,0
1	-183.03253900548793,139.5655155682224,0
1	27.757196506683783,-175.36122287921148,0
1	218.14218668857262,15.102342364883555,0
1	56.43057377495671,-171.68775566653005,0
1	-140.9941599418783,-76.23054078152086,0
1	-53.988976429259196,-68.29789315179201,0
1	-217.67208646102742,-134.64586988985553,0
1	-100.10721924714551,-67.09920401585927,0
1	-94.41238937931683,178.59346384339386,0
1	210.78811001826483,-108.48541952935241,0
1	-152.94907119500905,-117.45037086008807,0
1	122.8032114102972,-214.5458799813454,0
1	-6.068771210835166,-128.08816949814468,0
1	-138.0121706753771,-15.583394808745425,0
1	-91.33528879555948,-84.60211803112028,0
1	59.1861108873037,33.42694117329353,0
1	20.05594820514756,233.65056909435026,0
1	-155.34677129040014,185.73906247731134,0
1	-73.50796333824533,-234.2027827719728,0
1	86.83330111312961,62.61960338592246,0
1	-188.03113608496002,-123.16230118043403,0
1	-186.68420061416919,45.40652102784617,0
1	-225.55631470309856,-204.46981017572958,0
1	-9.740783902906657,95.34685947145675,0
1	130.32234089762363,-169.0443389359249,0
1	-104.16046595652901,-202.59049485612059,0
1	161.85786468944883,237.177892451819,0
1	130.9175251803128,180.85040274282096,0
1	-122.99914326332551,7.72240249819464,0
1	70.23581167485042,-97.52180359609304,0
1	19.15343580938429,221.92295577726418,0
1	156.7013010006882,232.6199598768922,0
1	-92.86260733452573,-1.6609454321219062,0
1	153.63635715101628,-208.0501457708464,0
1	-206.3605770041906,213.07400691532467,0
1	33.917366275746474,-26.63658708522837,1
1	-89.41125046395311,-188.4821301661586,0
1	-215.30776106916016,-73.66350608102852,0
1	-156.98466097896198,-28.88513036013967,0
1	123.8754159905024,-221.50330990003613,0
1	-34.29963280387176,28.29902872865938,1
1	87.82382979789782,-238.68977623440745,0
1	73.06994226231313,190.34647178793762,0
1	43.89765130705632,100.43620407772573,0
1	-92.30769202249672,-181.7666419215264,0
1	212.18312597860415,211.09737166354034,0
1	82.48065964649311,-39.830353287468824,0
1	37.84185637292319,-210.35378142587706,0
1	135.36378669001073,58.243973210343825,0
1	182.03105600397953,-217.21667037753122,0
1	245.32716036516013,124.3585280918735,0
1	175.34309797374152,-160.74183507860795,0
1	-59.02958764336131,-5.269656207079748,0
1	-95.61534456188781,-61.570481175079806,0
